51.5787012987013	26.8971428571429	0.744510172837554	-0.00508736512210282	0.195657772493414	0.0863668962555207	0.288188071119604	0.108985910531631	-0.117096805388653	0.269525899716961	-0.193962209128935	0.290391709989956
38.375	81.75	0.360551529865268	0.248855612594748	0.499239889012997	-0.0818830179096297	0.818928340308473	0.130165258220064	0.520401922827893	0.245985064951234	0.82101692666397	0.369490407422107
55.5	154.9	0.232801044491313	0.259783736734626	-0.127877986996124	-0.237662689280611	0.565444280935437	-0.209032744487771	-0.40790293501536	0.195128630705426	0.605153508320862	0.329569147811137
40.4	474.5	0.152355486947653	-0.453179700636767	0.0971603482252406	-0.172000557524517	-0.456899613610304	0.0649375586501132	0.317964257345161	-0.619112457212425	0.0535147085999968	0.479077307270908
68.9989177489177	62.3809523809524	0.549482374244706	0.177560024100423	-0.326574687395313	-0.601685598984188	0.196618460563293	0.293667871939007	-0.0364495275345341	-0.56659466862666	-0.23931667406607	0.450664508620019
50.2	258.983333333333	0.673565278843088	-0.144289986469366	0.611232066531862	0.0482510231353967	0.679622682930902	-0.299759073911016	0.628049290379904	-0.146042515028324	0.705061524683941	-0.291208362061889
44.0833333333333	341.416666666667	0.0951211032564609	-0.206906941708193	0.274346774967196	0.160266093862986	-0.380062378884695	0.434684756946561	-0.335821855229588	0.391548573420353	-0.192755868414663	0.839026797204518
70.3666666666667	226.9	0.430334564065761	0.302991529665058	-0.12365527616697	0.0240672836907427	0.268191778079887	0.194119068828234	0.0169257927188259	-0.399139283871607	-0.148292811973638	0.573703233939519
52.2	372.4	0.370071258907363	-0.190295215473363	-0.0277239472408138	-0.122453352738181	-0.253527160181538	0.338125459882929	-0.149672149802889	0.584641533783491	-0.136888285053888	0.723025438520455
65.48	277.74	0.579290111028016	-0.403657701097729	-0.279539685154056	-0.0426440547125189	-0.0200253805860364	-0.487410516912419	-0.0566010857238274	-0.0474557805366762	-0.344866668161543	-0.0251833032969258
55.3166666666667	305.616666666667	0.448742936535601	0.0141735685284921	0.155795128241526	-0.32744939854566	-0.136108478553149	0.0871200908755636	0.266160833311568	-0.307944037661089	-0.123620200393208	0.431112174969754
76.9285714285714	114.071428571429	0.246917635371686	0.20239859641252	-0.210150265533978	0.38547128113221	0.49001862555548	0.279800840499312	-0.172791337291977	0.296619917099781	-0.232906811037789	0.245812804670215
80.1428571428571	407.785714285714	0.338475360648234	0.132003186926819	-0.0360434953111223	0.213638960142421	-0.152994588147235	0.377905281943471	-0.113266340336292	0.0594358532636908	-0.449099819377691	0.183503038997928
73.2190476190476	484.330952380952	0.212145173766609	-0.471609009840951	0.172165767008444	0.148417751181265	-0.223034209249313	-0.344163030277667	-0.0612295549228085	-0.238862238892233	0.212880787231272	0.137855855932894
82.6666666666667	447.5	0.392281563922816	-0.273180602731806	-0.0222163631543015	-0.472813658961119	-0.134401509514989	-0.526510534985933	-0.164850288585449	-0.315232861486673	-0.337256390185595	-0.352058170920491
92.5	194.25	0.266609792130506	0.261012505462036	-0.115154089332148	0.195808289187988	0.35538481899646	-0.06756413918413	-0.551607305414644	0.0476022221086671	-0.224285709831455	0.394678585392771
86.7	326.8	0.155216680930522	-0.119855286703493	0.554272458759288	-0.0700680683344914	0.110424768124364	0.46086620716887	-0.396540302106947	-0.629745012629882	0.638459242758824	0.0927655436465987
101.416666666667	364.25	-0.0185628414302157	0.0237333966711124	-0.211951319790034	0.134973565063471	0.139635163751661	0.299964552611399	0.433620337452786	-0.437891549614781	-0.722134688214372	-0.105972954148883
101	296.5	0.0884044402835361	0.127056306005082	0.105814442134732	0.0277987093743784	0.299966250362372	-0.420040036019662	-0.228515562457202	-0.0188147231409609	-0.111548989544082	0.72175274968978
114.4	91.6	0.0187362708360254	0.320907093939785	0.056630772137131	-0.211471329133571	0.440170720121829	0.142312102710088	-0.516047818981817	0.0832896003813608	-0.170331451538585	0.528768223282077
109	157.5	0.292013048510996	0.335473008523624	0.0232192184327419	0.176069717743509	0.511989776266686	0.380758612434541	0.492458333554231	0.290584879672462	0.18133134141099	0.72736385346573
